Report ID,Report Channel,Customer Name,State Key,Ticket Open Time,Ticket Resp Time,Issue Res Time,Fault Type,Operator,Ticket Close Time,Ticket Status,Business Status,Response_time_diff,Resolution_time_diff,Hour_of_day,resolution_hour,Resolution_class,total_response_seconds,response_time_status,within_or_outside_6_9pm
AXA-20201231-1101-WLESS,CH01,Access,NGS001,2020-12-31 17:07:04.000,2020-12-31 17:10:20.000,2020-12-31 20:44:42.000,,Tunde, ,Active,Open,0 days 00:03:16,0 days 03:34:22,17,3.5727777777777776,Critical,196.0,Bad,outside 6-9pm
AXA-20201230-1102-WLESS,CH01,Access,NGS001,2020-12-30 19:04:06.000,2020-12-30 19:13:18.000,2020-12-30 19:46:30.000,Customers End,Sekina,2021-01-01 13:27:17,Completed,Closed,0 days 00:09:12,0 days 00:33:12,19,0.5533333333333333,Good,552.0,Bad,Within 6-9pm
AXA-20201229-1103-WLESS,CH01,Access,NGS001,2020-12-29 18:28:04.000,2020-12-29 18:37:52.000,2020-12-29 20:10:11.000,Customers End,Sherifat,2020-12-30 13:20:43,Completed,Closed,0 days 00:09:48,0 days 01:32:19,18,1.5386111111111112,Fair,588.0,Bad,Within 6-9pm
AXA-20201229-1104-HSE,CH01,Arik,NGS002,2020-12-29 14:49:16.000,2020-12-29 14:58:23.000,2020-12-29 16:03:56.000,Line damage,Kingsley,2020-12-29 21:34:31,Completed,Closed,0 days 00:09:07,0 days 01:05:33,14,1.0925,Fair,547.0,Bad,outside 6-9pm
AXA-20201231-1105-HSE,CH01,Arik,NGS003,2020-12-31 21:43:03.000,2020-12-31 21:47:39.000,2020-12-31 22:20:58.000,Customers End,Kola,2021-01-02 06:54:01,Completed,Closed,0 days 00:04:36,0 days 00:33:19,21,0.5552777777777779,Good,276.0,Bad,Within 6-9pm
AXA-20201231-1106-HSE,CH01,Arik,NGS003,2020-12-31 10:34:09.000,2020-12-31 10:37:57.000,2020-12-31 12:42:27.000,Customers End,Tunde,2020-12-31 14:36:59,Completed,Closed,0 days 00:03:48,0 days 02:04:30,10,2.075,Fair,228.0,Bad,outside 6-9pm
AXA-20201231-1107-HSE,CH01,Arik,NGS003,2020-12-31 09:37:03.000,2020-12-31 09:47:46.000,2020-12-31 13:33:02.000,Customers End,Tunde,2020-12-31 22:04:39,Completed,Closed,0 days 00:10:43,0 days 03:45:16,9,3.7544444444444443,Critical,643.0,Bad,outside 6-9pm
AXA-20201231-1108-HSE,CH01,Arik,NGS003,2020-12-31 08:31:04.000,2020-12-31 08:40:34.000,2020-12-31 14:14:19.000,Customers End,Habeeb,2021-01-01 07:25:36,Completed,Closed,0 days 00:09:30,0 days 05:33:45,8,5.5625,Critical,570.0,Bad,outside 6-9pm
AXA-20201231-1109-HSE,CH01,Arik,NGS003,2020-12-31 07:52:07.000,2020-12-31 07:59:52.000,2020-12-31 12:15:13.000,Customers End,John,2020-12-31 21:59:53,Completed,Closed,0 days 00:07:45,0 days 04:15:21,7,4.255833333333334,Critical,465.00000000000006,Bad,outside 6-9pm
AXA-20201230-1110-HSE,CH01,Arik,NGS003,2020-12-30 23:07:04.000,2020-12-30 23:15:18.000,2020-12-31 00:42:45.000,Customers End,Amelia,2020-12-31 06:56:48,Completed,Closed,0 days 00:08:14,0 days 01:27:27,23,1.4575,Fair,494.00000000000006,Bad,outside 6-9pm
AXA-20201230-1111-HSE,CH01,Arik,NGS003,2020-12-30 10:43:06.000,2020-12-30 10:43:15.000,2020-12-30 14:46:01.000,Customers End,Habeeb,2020-12-30 11:18:14,Completed,Closed,0 days 00:00:09,0 days 04:02:46,10,4.046111111111111,Critical,9.0,Good,outside 6-9pm
AXA-20201230-1112-HSE,CH01,Arik,NGS003,2020-12-30 09:28:04.000,2020-12-30 09:28:43.000,2020-12-30 13:52:19.000,Customers End,John,2020-12-30 11:00:57,Completed,Closed,0 days 00:00:39,0 days 04:23:36,9,4.3933333333333335,Critical,39.0,Bad,outside 6-9pm
AXA-20201230-1113-HSE,CH01,Arik,NGS003,2020-12-30 04:28:09.000,2020-12-30 04:33:37.000,2020-12-30 09:14:13.000,Customers End,Popoola,2020-12-30 05:10:01,Completed,Closed,0 days 00:05:28,0 days 04:40:36,4,4.676666666666667,Critical,328.0,Bad,outside 6-9pm
AXA-20201229-1114-HSE,CH01,Arik,NGS003,2020-12-29 22:37:03.000,2020-12-29 22:39:20.000,2020-12-30 02:11:30.000,Customers End,Paul,2020-12-30 05:07:38,Completed,Closed,0 days 00:02:17,0 days 03:32:10,22,3.536111111111111,Critical,137.0,Bad,outside 6-9pm
AXA-20201231-1115-HSE,CH01,Bates,NGS004,2020-12-31 14:49:04.000,2020-12-31 14:58:11.000,2020-12-31 14:59:26.000,,John, ,Active,Open,0 days 00:09:07,0 days 00:01:15,14,0.020833333333333332,Excellent,547.0,Bad,outside 6-9pm
AXA-20201231-1116-HSE,CH01,Bates,NGS004,2020-12-31 10:34:06.000,2020-12-31 10:43:18.000,2020-12-31 14:11:40.000,Routine Service,Sekina,2020-12-31 14:37:33,Completed,Closed,0 days 00:09:12,0 days 03:28:22,10,3.472777777777778,Critical,552.0,Bad,outside 6-9pm
AXA-20201231-1117-HSE,CH01,Bates,NGS004,2020-12-31 09:13:03.000,2020-12-31 09:19:20.000,2020-12-31 14:31:33.000,Routine Service,Tunde,2021-01-01 07:26:00,Completed,Closed,0 days 00:06:17,0 days 05:12:13,9,5.203611111111111,Critical,377.0,Bad,outside 6-9pm
AXA-20201230-1118-HSE,CH01,Bates,NGS004,2020-12-30 18:19:07.000,2020-12-30 18:19:12.000,2020-12-30 20:34:58.000,Routine Service,Bola,2021-01-02 06:36:00,Completed,Closed,0 days 00:00:05,0 days 02:15:46,18,2.262777777777778,Fair,5.0,Good,Within 6-9pm
AXA-20201229-1119-HSE,CH01,Bates,NGS004,2020-12-29 18:22:04.000,2020-12-29 18:28:17.000,2020-12-29 23:59:44.000,Customers End,John,2020-12-30 17:23:54,Completed,Closed,0 days 00:06:13,0 days 05:31:27,18,5.524166666666667,Critical,373.0,Bad,Within 6-9pm
AXA-20201229-1120-HSE,CH01,Bates,NGS004,2020-12-29 15:37:04.000,2020-12-29 15:43:42.000,2020-12-29 15:47:07.000,Customers End,Vitus,2020-12-30 05:50:43,Completed,Closed,0 days 00:06:38,0 days 00:03:25,15,0.05694444444444444,Excellent,398.0,Bad,outside 6-9pm
AXA-20201229-1121-HSE,CH01,Bates,NGS004,2020-12-29 11:52:06.000,2020-12-29 12:01:18.000,2020-12-29 12:34:44.000,Customers End,Goodluck,2020-12-29 23:01:50,Completed,Closed,0 days 00:09:12,0 days 00:33:26,11,0.5572222222222223,Good,552.0,Bad,outside 6-9pm
AXA-20201230-1122-WLESS,CH01,Cassava,NGS005,2020-12-30 21:55:03.000,2020-12-30 21:55:39.000,2020-12-30 22:06:49.000,Customers End,Jennifer,2020-12-31 07:53:49,Completed,Closed,0 days 00:00:36,0 days 00:11:10,21,0.18611111111111112,Excellent,36.0,Bad,Within 6-9pm
AXA-20201229-1123-WLESS,CH01,Cassava,NGS005,2020-12-29 23:22:06.000,2020-12-29 23:29:18.000,2020-12-30 00:53:06.000,Customers End,Vitus,2020-12-30 12:11:19,Completed,Closed,0 days 00:07:12,0 days 01:23:48,23,1.3966666666666667,Fair,432.0,Bad,outside 6-9pm
AXA-20201231-1124-WLESS,CH01,Cassava,NGS006,2020-12-31 04:28:09.000,2020-12-31 04:36:27.000,2020-12-31 09:21:46.000,Customers End,Bola,2020-12-31 21:41:37,Completed,Closed,0 days 00:08:18,0 days 04:45:19,4,4.755277777777778,Critical,498.00000000000006,Bad,outside 6-9pm
AXA-20201230-1125-WLESS,CH01,Cassava,NGS007,2020-12-30 21:22:03.000,2020-12-30 21:24:12.000,2020-12-30 23:51:16.000,Line damage,Goodluck,2020-12-31 07:54:12,Completed,Closed,0 days 00:02:09,0 days 02:27:04,21,2.451111111111111,Fair,129.0,Bad,Within 6-9pm
AXA-20201231-1126-WLESS,CH01,Cassava,NGS001,2020-12-31 16:49:03.000,2020-12-31 16:50:37.000,2020-12-31 20:54:02.000,,Atiku, ,Active,Open,0 days 00:01:34,0 days 04:03:25,16,4.056944444444445,Critical,94.0,Bad,outside 6-9pm
AXA-20201230-1127-WLESS,CH01,Cassava,NGS001,2020-12-30 18:19:09.000,2020-12-30 18:26:32.000,2020-12-30 18:37:52.000,Routine Service,Tunde,2020-12-31 20:08:45,Completed,Closed,0 days 00:07:23,0 days 00:11:20,18,0.18888888888888888,Excellent,443.0,Bad,Within 6-9pm
AXA-20201229-1128-WLESS,CH01,Cassava,NGS001,2020-12-29 18:58:03.000,2020-12-29 18:59:22.000,2020-12-29 21:04:48.000,Customers End,John,2020-12-30 13:15:37,Completed,Closed,0 days 00:01:19,0 days 02:05:26,18,2.090555555555556,Fair,79.0,Bad,Within 6-9pm
AXA-20201231-1129-WLESS,CH01,Cassava,NGS001,2020-12-31 01:34:03.000,2020-12-31 01:44:22.000,2020-12-31 03:13:01.000,Routine Service,John,2020-12-31 21:22:36,Completed,Closed,0 days 00:10:19,0 days 01:28:39,1,1.4775,Fair,619.0,Bad,outside 6-9pm
AXA-20201231-1130-WLESS,CH01,Cassava,NGS008,2020-12-31 00:34:03.000,2020-12-31 00:42:38.000,2020-12-31 02:04:13.000,Customers End,Kingsley,2020-12-31 21:26:25,Completed,Closed,0 days 00:08:35,0 days 01:21:35,0,1.3597222222222223,Fair,515.0,Bad,outside 6-9pm
AXA-20201231-1131-WLESS,CH01,Cassava,NGS009,2020-12-31 23:04:11.000,2020-12-31 23:12:32.000,2021-01-01 04:36:11.000,Line damage,Amelia,2021-01-01 06:24:11,Completed,Closed,0 days 00:08:21,0 days 05:23:39,23,5.394166666666667,Critical,501.00000000000006,Bad,outside 6-9pm
AXA-20201231-1132-WLESS,CH01,Cassava,NGS009,2020-12-31 18:52:05.000,2020-12-31 19:01:50.000,2020-12-31 20:34:38.000,hardware failure,Amelia,2020-12-31 22:31:58,Completed,Closed,0 days 00:09:45,0 days 01:32:48,18,1.5466666666666666,Fair,585.0,Bad,Within 6-9pm
AXA-20201231-1133-WLESS,CH01,Cassava,NGS010,2020-12-31 21:28:05.000,2020-12-31 21:32:19.000,2021-01-01 00:37:59.000,Customers End,Boye,2021-01-02 06:33:20,Completed,Closed,0 days 00:04:14,0 days 03:05:40,21,3.0944444444444446,Critical,254.00000000000003,Bad,Within 6-9pm
AXA-20201230-1134-WLESS,CH01,Cassava,NGS010,2020-12-30 21:34:06.000,2020-12-30 21:34:25.000,2020-12-31 01:00:04.000,Customers End,Amelia,2020-12-31 07:54:14,Completed,Closed,0 days 00:00:19,0 days 03:25:39,21,3.4275,Critical,19.0,Bad,Within 6-9pm
