Entry_id,age,pay_schedule,home_owner,income,months_employed,years_employed,current_address_year,personal_account_m,personal_account_y,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,risk_score_4,risk_score_5,ext_quality_score,ext_quality_score_2,inquiries_last_month,e_signed
7629673,40,bi-weekly,1,3135,0,3,3,6,2,1,550,36200,0.737398319,0.903517238,0.4877125,0.515976695,0.580918,0.380918,10,1
5335819,33,semi-monthly,0,3590,0,5,2,2,8,1,1100,53850,0.617361345,0.857559706,0.613486719,0.665523488,0.744634,0.744634,12,0
8492423,21,weekly,0,2303,0,5,8,2,7,1,600,74850,0.677109244,0.758765039,0.495609375,0.664761939,0.592556,0.492556,6,1
7948313,26,bi-weekly,0,2795,0,4,4,1,6,1,800,50800,0.738054622,0.873204345,0.666436719,0.700392155,0.58413,0.68413,14,1
4297036,43,bi-weekly,0,5000,0,2,1,1,2,1,1100,69100,0.798303361,0.841746723,0.401971094,0.568787109,0.525905,0.725905,5,1
8908605,51,bi-weekly,1,3055,0,6,11,4,2,1,600,59750,0.624665546,0.968564823,0.50991875,0.749624146,0.758607,0.758607,5,1
3818616,34,weekly,0,3877,6,5,2,2,7,1,800,55550,0.802788235,0.900083049,0.746076563,0.79131937,0.807174,0.507174,10,1
6889184,56,bi-weekly,0,3555,0,8,8,6,2,1,900,64500,0.640915126,0.869770156,0.699680469,0.706527329,0.752686,0.452686,10,1
6817588,24,bi-weekly,0,2135,5,1,3,3,2,1,1000,63000,0.549034454,0.739686209,0.484734375,0.558979388,0.454199,0.454199,8,1
6235249,50,bi-weekly,0,3700,0,2,6,2,1,1,500,2800,0.467041176,0.809312713,0.624903906,0.621840535,0.462823,0.462823,16,1
8149720,61,bi-weekly,0,6110,0,6,5,2,4,0,900,76350,0.739293277,0.958587718,0.717289063,0.816048315,0.495346,0.495346,2,1
9375601,29,bi-weekly,0,1515,6,1,0,5,2,1,400,56600,0.744604202,0.852992009,0.340332813,0.533660885,0.374144,0.374144,6,0
7611317,58,weekly,1,3675,0,10,10,2,0,1,400,29150,0.691880672,0.833958071,0.765911719,0.754194294,0.824777,0.624777,9,1
8515555,36,bi-weekly,0,1520,9,3,5,9,4,1,900,35600,0.647352941,0.879915604,0.5753625,0.613068177,0.716315,0.616315,9,1
4083808,42,semi-monthly,0,4780,10,1,1,6,3,1,400,35400,0.539069748,0.867716376,0.302844531,0.506524933,0.61838,0.61838,8,1
1403171,62,bi-weekly,0,3240,1,6,6,3,6,1,1200,68650,0.720442017,0.812713234,0.647686719,0.733741147,0.446364,0.446364,4,0
8079784,40,bi-weekly,0,3105,4,3,4,5,4,1,600,53800,0.646738655,0.896716197,0.598545313,0.685838016,0.532947,0.632947,2,1
3884169,35,weekly,1,5220,1,5,5,8,3,1,900,62350,0.669209244,0.881060334,0.504127344,0.648169588,0.535607,0.735607,6,0
2868841,66,monthly,0,3625,0,6,4,1,2,0,1050,61000,0.531936134,0.909195996,0.34643125,0.597690026,0.449328,0.549328,15,1
3470965,37,bi-weekly,1,4499,0,5,8,2,4,0,700,63500,0.715705042,0.825035913,0.496419531,0.646906614,0.734796,0.434796,4,1
1519375,31,bi-weekly,0,2740,0,1,1,2,3,1,500,67350,0.676912605,0.762098222,0.42185,0.543713329,0.48102,0.48102,9,1
7769592,48,bi-weekly,0,3635,0,3,2,2,4,1,900,48350,0.646337815,0.808179206,0.559528906,0.755585618,0.444159,0.644159,3,0
4218775,53,monthly,0,1735,0,4,2,1,2,1,600,58350,0.624943697,0.854215299,0.578204688,0.754923327,0.505423,0.605423,6,1
7290744,50,bi-weekly,0,3165,0,2,2,2,2,1,700,87550,0.636430252,0.855315137,0.652360938,0.822393984,0.808443,0.508443,7,0
1364529,46,weekly,1,3005,0,3,10,1,5,1,700,54100,0.585051261,0.925996588,0.519169531,0.78235962,0.568509,0.468509,4,0
6502470,24,bi-weekly,0,1580,2,6,3,5,3,1,1100,68000,0.689933613,0.866616538,0.539551562,0.556243802,0.499055,0.699055,7,0
2881357,49,bi-weekly,0,1875,0,0,0,3,3,1,350,68200,0.753667227,0.929251212,0.645728125,0.896080248,0.726708,0.726708,5,0
7048193,23,bi-weekly,0,2265,2,2,1,3,7,1,400,67350,0.778822689,0.894639971,0.513208594,0.784878721,0.447938,0.447938,4,1
5262916,33,semi-monthly,0,2000,0,2,0,2,3,1,500,38300,0.752766387,0.905862812,0.659036719,0.741448192,0.782007,0.882007,8,0
7581828,44,weekly,0,1730,0,6,4,1,3,1,600,47550,0.680268067,0.874292961,0.739351562,0.674746785,0.453141,0.753141,5,1
5815308,33,weekly,1,2645,0,3,1,2,3,1,700,78550,0.685623529,0.975399533,0.792141406,0.992600142,0.747655,0.647655,7,1
2817073,62,bi-weekly,0,2455,8,5,5,5,3,1,700,90150,0.803556303,0.97653304,0.799046094,0.912816353,0.820434,0.920434,4,1
3344880,27,bi-weekly,0,2270,0,2,2,3,3,1,1350,76050,0.786026891,0.838368648,0.572432031,0.706672793,0.775379,0.575379,9,1
5190815,41,bi-weekly,0,1760,5,0,5,6,3,1,600,41450,0.586263025,0.884539415,0.32745,0.582222884,0.690358,0.690358,8,0
2291906,58,bi-weekly,1,5185,3,3,8,3,3,1,900,61950,0.709681513,0.9316529,0.595639063,0.907251057,0.623103,0.723103,6,0
4797409,55,bi-weekly,1,3265,0,6,8,3,3,1,700,46850,0.623710924,0.874281738,0.4672875,0.495925714,0.548545,0.548545,6,1
8700190,41,weekly,1,2765,0,2,7,6,1,1,600,41850,0.633981513,0.959575328,0.784714063,0.852513667,0.571946,0.571946,7,1
8232654,64,monthly,1,6745,0,6,2,7,4,1,600,50250,0.681121849,0.858704435,0.614124219,0.819059427,0.751827,0.751827,10,0
9345905,46,bi-weekly,0,4548,0,3,3,2,4,1,2000,72400,0.598292437,0.900184055,0.617605469,0.753998345,0.591933,0.391933,23,1
6017637,51,bi-weekly,1,1890,5,1,4,1,8,1,800,90000,0.707617647,0.953021189,0.80895625,0.950111708,0.71801,0.91801,6,0
5490466,19,bi-weekly,1,3775,0,1,2,1,2,1,500,53650,0.637627731,0.73079772,0.657499219,0.655344404,0.448106,0.548106,6,1
2843337,48,semi-monthly,0,4635,0,7,9,3,2,1,1200,61900,0.768841176,0.980909948,0.627789063,0.757727367,0.582855,0.782855,7,1
2718414,35,weekly,0,5260,0,2,7,6,2,1,700,71650,0.762060504,0.80467768,0.642172656,0.785765198,0.517257,0.517257,8,0
2154744,37,weekly,0,3595,0,2,5,2,8,1,1100,70600,0.786142017,0.90135123,0.71635,0.871608862,0.755791,0.755791,4,1
3222253,24,weekly,0,2035,3,6,6,11,9,1,500,54100,0.693977311,0.956354372,0.650723438,0.972201757,0.581596,0.881596,10,0
5867020,46,weekly,0,3035,0,5,6,3,3,1,500,56550,0.663416807,0.887782816,0.363150781,0.69716798,0.612984,0.512984,6,1
3618715,40,monthly,1,3780,0,6,11,0,0,1,800,52850,0.71177563,0.879904381,0.430792969,0.774488286,0.746014,0.646014,6,1
3738863,34,weekly,0,1520,0,6,2,1,3,0,450,44600,0.846243697,0.890139612,0.63191875,0.712851607,0.623151,0.723151,2,1
1164716,62,weekly,1,6770,1,3,1,1,3,1,700,86200,0.662089916,0.863182349,0.6372875,0.796271149,0.809772,0.809772,7,1
4311351,41,bi-weekly,0,1560,0,3,2,5,2,1,800,60900,0.543066387,0.849726163,0.608121875,0.76117145,0.584818,0.684818,4,1
3786494,57,bi-weekly,1,2620,0,1,10,1,4,0,400,52700,0.634643697,0.860836775,0.556751563,0.589693763,0.570931,0.570931,11,0
9153892,33,bi-weekly,1,6560,0,3,2,5,2,1,400,30450,0.731880672,0.932775184,0.492735938,0.818069414,0.556111,0.656111,12,1
4857902,19,monthly,0,3390,9,2,1,1,3,0,600,42550,0.493293277,0.858625875,0.344771875,0.579836412,0.756457,0.656457,12,0
9217393,41,bi-weekly,0,6120,0,2,8,2,10,1,900,59700,0.863376471,0.839648052,0.657094531,0.827694877,0.588167,0.688167,6,0
3192100,42,bi-weekly,1,3325,5,3,3,3,2,1,800,68250,0.764839496,0.897917041,0.558355469,0.766252435,0.425807,0.525807,5,1
9862875,41,bi-weekly,0,5185,1,3,3,3,8,1,1100,47900,0.715057983,0.947420991,0.6886875,0.796669037,0.578785,0.678785,10,0
1401385,25,bi-weekly,1,4565,0,3,0,2,3,1,900,77050,0.774666387,0.808156761,0.466794531,0.631940041,0.552686,0.552686,5,0
4838692,32,bi-weekly,0,2640,5,0,0,5,2,1,1000,59600,0.735910084,0.869938499,0.494903906,0.736627331,0.702679,0.702679,8,1
1510791,46,bi-weekly,1,6155,10,0,10,6,4,1,600,51100,0.599121008,0.797943976,0.647611719,0.694597539,0.87083,0.67083,9,1
8669237,42,weekly,0,4695,0,4,3,0,0,1,525,52950,0.742878992,0.800267104,0.794920312,0.678639241,0.53044,0.63044,2,1
1665640,38,bi-weekly,1,6240,0,4,4,2,4,0,3600,76050,0.674536975,0.859680822,0.642971094,0.684907044,0.46942,0.56942,2,1
5706018,24,weekly,1,1850,6,1,1,4,1,0,600,51700,0.81327563,0.87333902,0.72861875,0.805603117,0.490527,0.490527,8,1
8884442,23,bi-weekly,1,3265,0,2,1,1,4,1,700,67800,0.78069916,0.95519842,0.721139062,0.787945453,0.680081,0.580081,6,1
2629825,34,bi-weekly,1,3250,0,3,2,2,3,0,900,51100,0.631205042,0.884494523,0.601403125,0.777503677,0.588475,0.788475,6,0
1934688,42,bi-weekly,0,5605,0,5,2,2,3,0,900,52150,0.406122689,0.95519842,0.532944531,0.670363173,0.721994,0.521994,4,1
8258904,48,bi-weekly,1,4780,6,0,3,1,2,1,700,48100,0.797761345,0.851993177,0.629121875,0.697962044,0.788017,0.488017,3,0
8262054,47,bi-weekly,1,4700,0,3,1,1,3,1,600,61800,0.772633613,0.869972167,0.498302344,0.586479001,0.650032,0.750032,4,1
3337988,46,bi-weekly,1,6000,0,3,1,1,3,0,1900,82950,0.624726891,0.875404022,0.741228906,0.802864964,0.791703,0.491703,5,1
